00:04:00:83:76:2c,4
00:04:00:83:76:2c,4
c2:3d:19:6c:00:01,14
10.0.0.2,10
c2:3c:19:6c:00:01,14
10.0.0.1,8
00:04:00:83:76:2c,4
10.200.200.102,8
10.200.200.101,8
10.0.0.2,84
10.0.0.1,84
c2:3d:19:6c:00:01,154
c2:3c:19:6c:00:01,158
00:04:00:83:76:2c,4
10.200.200.201,24
10.200.200.101,36
10.200.200.102,40
c2:3d:19:6c:00:01,432
10.0.0.2,252
10.0.0.1,244
c2:3c:19:6c:00:01,480
192.168.110.10,17
212.144.254.123,8
00:04:00:83:76:2c,4
80.154.108.235,8
213.61.29.182,10
10.200.200.201,24
10.200.200.101,36
10.200.200.102,40
c2:3d:19:6c:00:01,432
10.0.0.2,252
10.0.0.1,244
c2:3c:19:6c:00:01,480
10.200.200.201,24
10.200.200.101,36
10.200.200.102,40
c2:3d:19:6c:00:01,432
10.0.0.2,252
10.0.0.1,244
c2:3c:19:6c:00:01,480
212.144.254.123,8
127.0.0.1,37
192.168.1.45,6
