Source IP,Destination IP,Number of Packets
193.40.240.1,239.255.255.250,5
192.168.0.71,192.168.0.255,1
192.168.0.90,192.168.0.255,1
192.168.0.52,192.168.0.255,1
193.40.240.200,192.168.0.46,4
193.40.240.224,239.255.255.250,3
192.168.0.46,193.40.240.200,128
192.168.0.101,192.168.0.46,120
0.0.0.0,255.255.255.255,4
00:00:81:e1:79:5c,01:00:81:00:01:00,54
