sXt_CIcBI_bgRxFkmZKr,1
00:19:e2:a1:f9:86,34
00:0c:29:9d:c9:d6,28
00:00:00:00:00:00,74
snuECIcBI_bgRxFkjJI1,1
01:00:5e:00:00:02,624
01:00:5e:00:00:05,300
01:00:0c:cc:cc:cc,66
ff:ff:ff:ff:ff:ff,86
c2:3c:19:6c:00:01,1062
sXt_CIcBI_bgRxFkmZKr,1
00:19:e2:a1:f9:86,34
00:0c:29:9d:c9:d6,28
00:00:00:00:00:00,74
snuECIcBI_bgRxFkjJI1,1
01:00:5e:00:00:02,632
01:00:5e:00:00:05,304
01:00:0c:cc:cc:cc,68
ff:ff:ff:ff:ff:ff,94
c2:3c:19:6c:00:01,1074
sXt_CIcBI_bgRxFkmZKr,1
00:19:e2:a1:f9:86,34
00:0c:29:9d:c9:d6,28
00:00:00:00:00:00,74
snuECIcBI_bgRxFkjJI1,1
ff:ff:ff:ff:ff:ff,94
01:00:0c:cc:cc:cc,72
01:00:5e:00:00:05,344
01:00:5e:00:00:02,728
c2:3c:19:6c:00:01,1230
sXt_CIcBI_bgRxFkmZKr,1
00:19:e2:a1:f9:86,34
00:0c:29:9d:c9:d6,28
00:00:00:00:00:00,74
snuECIcBI_bgRxFkjJI1,1
ff:ff:ff:ff:ff:ff,114
01:00:5e:00:00:05,394
c2:3c:19:6c:00:01,1346
c2:3d:19:6c:00:01,1474
01:00:5e:00:00:02,810
sXt_CIcBI_bgRxFkmZKr,1
00:19:e2:a1:f9:86,34
00:0c:29:9d:c9:d6,28
00:00:00:00:00:00,74
snuECIcBI_bgRxFkjJI1,1
ff:ff:ff:ff:ff:ff,114
01:00:0c:cc:cc:cc,96
01:00:5e:00:00:02,1004
01:00:5e:00:00:05,480
c2:3c:19:6c:00:01,1702
sXt_CIcBI_bgRxFkmZKr,1
snuECIcBI_bgRxFkjJI1,1
s3uKCIcBI_bgRxFkC5Iq,1
00:19:e2:a1:f9:86,68
00:0c:29:9d:c9:d6,56
00:00:00:00:00:00,148
tHuKCIcBI_bgRxFk5pJt,1
01:00:5e:00:00:02,1226
01:00:5e:00:00:05,592
01:00:0c:cc:cc:cc,128
sXt_CIcBI_bgRxFkmZKr,1
snuECIcBI_bgRxFkjJI1,1
s3uKCIcBI_bgRxFkC5Iq,1
00:19:e2:a1:f9:86,68
00:0c:29:9d:c9:d6,56
00:00:00:00:00:00,148
tHuKCIcBI_bgRxFk5pJt,1
ff:ff:ff:ff:ff:ff,150
01:00:0c:cc:cc:cc,132
01:00:5e:00:00:05,632
00:19:e2:a1:f9:86,85
00:0c:29:9d:c9:d6,70
00:00:00:00:00:00,185
tXuSCIcBI_bgRxFkB5JB,1
s3uKCIcBI_bgRxFkC5Iq,1
tHuKCIcBI_bgRxFk5pJt,1
sXt_CIcBI_bgRxFkmZKr,1
snuECIcBI_bgRxFkjJI1,1
01:00:5e:00:00:02,1516
01:00:5e:00:00:05,732
00:19:e2:a1:f9:86,85
00:0c:29:9d:c9:d6,70
00:00:00:00:00:00,185
tXuSCIcBI_bgRxFkB5JB,1
s3uKCIcBI_bgRxFkC5Iq,1
tHuKCIcBI_bgRxFk5pJt,1
sXt_CIcBI_bgRxFkmZKr,1
snuECIcBI_bgRxFkjJI1,1
ff:ff:ff:ff:ff:ff,170
01:00:0c:cc:cc:cc,160
tXuSCIcBI_bgRxFkB5JB,1
s3uKCIcBI_bgRxFkC5Iq,1
tHuKCIcBI_bgRxFk5pJt,1
sXt_CIcBI_bgRxFkmZKr,1
snuECIcBI_bgRxFkjJI1,1
01:00:0c:cc:cc:cc,182
c2:3c:19:6c:00:01,3075
01:00:5e:00:00:05,868
01:00:5e:00:00:02,1798
c2:3d:19:6c:00:01,3335
tXuSCIcBI_bgRxFkB5JB,1
s3uKCIcBI_bgRxFkC5Iq,1
tHuKCIcBI_bgRxFk5pJt,1
sXt_CIcBI_bgRxFkmZKr,1
snuECIcBI_bgRxFkjJI1,1
00:19:e2:a1:f9:86,102
00:0c:29:9d:c9:d6,84
00:00:00:00:00:00,222
tnuaCIcBI_bgRxFkZJIf,1
t3uaCIcBI_bgRxFkZJJT,1
tXuSCIcBI_bgRxFkB5JB,1
s3uKCIcBI_bgRxFkC5Iq,1
tHuKCIcBI_bgRxFk5pJt,1
sXt_CIcBI_bgRxFkmZKr,1
snuECIcBI_bgRxFkjJI1,1
ff:ff:ff:ff:ff:ff,194
00:12:3f:0a:8a:96,28
00:19:e2:a1:f9:89,30
00:19:e2:a1:f9:86,102
00:0c:29:9d:c9:d6,84
tXuSCIcBI_bgRxFkB5JB,1
s3uKCIcBI_bgRxFkC5Iq,1
tHuKCIcBI_bgRxFk5pJt,1
sXt_CIcBI_bgRxFkmZKr,1
snuECIcBI_bgRxFkjJI1,1
00:12:3f:0a:8a:96,28
00:19:e2:a1:f9:89,30
00:19:e2:a1:f9:86,102
00:0c:29:9d:c9:d6,84
00:00:00:00:00:00,222
tXuSCIcBI_bgRxFkB5JB,1
s3uKCIcBI_bgRxFkC5Iq,1
tHuKCIcBI_bgRxFk5pJt,1
sXt_CIcBI_bgRxFkmZKr,1
snuECIcBI_bgRxFkjJI1,1
00:12:3f:0a:8a:96,28
00:19:e2:a1:f9:89,30
00:19:e2:a1:f9:86,102
00:0c:29:9d:c9:d6,84
00:00:00:00:00:00,222
tXuSCIcBI_bgRxFkB5JB,1
s3uKCIcBI_bgRxFkC5Iq,1
tHuKCIcBI_bgRxFk5pJt,1
sXt_CIcBI_bgRxFkmZKr,1
snuECIcBI_bgRxFkjJI1,1
00:12:3f:0a:8a:96,28
00:19:e2:a1:f9:89,30
00:19:e2:a1:f9:86,102
00:0c:29:9d:c9:d6,84
00:00:00:00:00:00,222
00:19:e2:a1:f9:86,102
00:0c:29:9d:c9:d6,84
00:00:00:00:00:00,222
tnuaCIcBI_bgRxFkZJIf,1
t3uaCIcBI_bgRxFkZJJT,1
uHuaCIcBI_bgRxFkZJKE,1
uXuaCIcBI_bgRxFkZJKy,1
unuaCIcBI_bgRxFkZJLi,1
u3uaCIcBI_bgRxFkZZIa,1
vHuaCIcBI_bgRxFkZZJU,1
00:19:e2:a1:f9:86,102
00:0c:29:9d:c9:d6,84
00:00:00:00:00:00,222
tnuaCIcBI_bgRxFkZJIf,1
t3uaCIcBI_bgRxFkZJJT,1
uHuaCIcBI_bgRxFkZJKE,1
uXuaCIcBI_bgRxFkZJKy,1
unuaCIcBI_bgRxFkZJLi,1
u3uaCIcBI_bgRxFkZZIa,1
vHuaCIcBI_bgRxFkZZJU,1
00:19:e2:a1:f9:86,102
00:0c:29:9d:c9:d6,84
00:00:00:00:00:00,222
tnuaCIcBI_bgRxFkZJIf,1
t3uaCIcBI_bgRxFkZJJT,1
uHuaCIcBI_bgRxFkZJKE,1
uXuaCIcBI_bgRxFkZJKy,1
unuaCIcBI_bgRxFkZJLi,1
u3uaCIcBI_bgRxFkZZIa,1
vHuaCIcBI_bgRxFkZZJU,1
00:19:e2:a1:f9:86,102
00:0c:29:9d:c9:d6,84
00:00:00:00:00:00,222
tnuaCIcBI_bgRxFkZJIf,1
t3uaCIcBI_bgRxFkZJJT,1
uHuaCIcBI_bgRxFkZJKE,1
uXuaCIcBI_bgRxFkZJKy,1
unuaCIcBI_bgRxFkZJLi,1
u3uaCIcBI_bgRxFkZZIa,1
vHuaCIcBI_bgRxFkZZJU,1
00:19:e2:a1:f9:86,102
00:0c:29:9d:c9:d6,84
00:00:00:00:00:00,222
tnuaCIcBI_bgRxFkZJIf,1
t3uaCIcBI_bgRxFkZJJT,1
uHuaCIcBI_bgRxFkZJKE,1
uXuaCIcBI_bgRxFkZJKy,1
unuaCIcBI_bgRxFkZJLi,1
u3uaCIcBI_bgRxFkZZIa,1
vHuaCIcBI_bgRxFkZZJU,1
00:19:e2:a1:f9:86,102
00:0c:29:9d:c9:d6,84
00:00:00:00:00:00,222
tnuaCIcBI_bgRxFkZJIf,1
t3uaCIcBI_bgRxFkZJJT,1
uHuaCIcBI_bgRxFkZJKE,1
uXuaCIcBI_bgRxFkZJKy,1
unuaCIcBI_bgRxFkZJLi,1
u3uaCIcBI_bgRxFkZZIa,1
vHuaCIcBI_bgRxFkZZJU,1
