8.8.8.8,1
192.168.89.2,1
10.10.10.20,20
192.168.88.1,3
192.168.88.61,3
00:0e:38:95:1d:8b,1
10.10.10.10,21
00:11:22:7b:c5:50,1
28:63:36:89:59:82,2
00:0a:dc:64:85:c2,2
70:71:bc:3a:0d:e8,2
00:90:e8:27:8c:37,2
00:07:7c:1a:61:83,2
00:0e:38:95:1d:8b,6
8.8.8.8,9
192.168.89.2,9
192.168.88.1,31
28:63:36:89:59:82,6
00:11:22:7b:c5:50,4
00:0a:dc:64:85:c2,10
70:71:bc:3a:0d:e8,10
8.8.8.8,28
192.168.89.2,28
00:90:e8:27:8c:37,9
00:07:7c:1a:61:83,9
00:0e:38:95:1d:8b,26
192.168.88.1,128
70:71:bc:3a:0d:e8,20
00:0a:dc:64:85:c2,20
28:63:36:89:59:82,12
00:11:22:7b:c5:50,9
00:0e:38:95:1d:8b,52
8.8.8.8,58
192.168.89.2,58
00:90:e8:27:8c:37,20
00:07:7c:1a:61:83,20
192.168.88.1,259
00:11:22:7b:c5:50,13
28:63:36:89:59:82,18
00:0a:dc:64:85:c2,34
70:71:bc:3a:0d:e8,34
00:90:e8:27:8c:37,31
00:07:7c:1a:61:83,31
00:0e:38:95:1d:8b,78
8.8.8.8,87
192.168.89.2,87
192.168.88.1,389
00:11:22:7b:c5:50,17
00:90:e8:27:8c:37,40
00:07:7c:1a:61:83,40
70:71:bc:3a:0d:e8,45
00:0a:dc:64:85:c2,45
00:0e:38:95:1d:8b,104
8.8.8.8,116
192.168.89.2,116
192.168.88.1,519
192.168.88.61,519
