Source,Destination,Number of Packets
10.102.142.30,248.102.142.27,1
00:0b:ab:18:7f:25,00:1d:09:f2:91:e6,1
10.102.142.30,10.102.142.57,1
aa:aa:aa:aa:aa:aa,00:1d:09:aa:aa:aa,1
00:1d:09:f2:91:aa,00:0b:ab:18:7f:8b,1
10.102.162.27,10.102.142.30,1
10.102.142.27,10.102.142.158,1
10.102.142.30,10.85.142.27,1
10.102.81.30,10.102.142.27,1
10.76.142.27,10.102.142.30,1
